state_ab,county,tvdma
FL,HOLMES,"Panama City, FL DMA"
FL,INDIAN RIVER,"West Palm Beach - Ft. Pierce, FL DMA"
FL,JACKSON,"Panama City, FL DMA"
FL,JEFFERSON,"Tallahassee - Thomasville, FL - GA DMA"
FL,LAFAYETTE,"Tallahassee - Thomasville, FL - GA DMA"
FL,LAKE,"Orlando - Daytona Beach - Melbourne, FL DMA"
FL,LEE,"Ft. Myers - Naples, FL DMA"
FL,LEON,"Tallahassee - Thomasville, FL - GA DMA"
FL,LEVY,"Gainesville, FL DMA"
FL,LIBERTY,"Panama City, FL DMA"
FL,MADISON,"Tallahassee - Thomasville, FL - GA DMA"
FL,MANATEE,"Tampa - St. Petersburg - Sarasota, FL DMA"
FL,MARION,"Orlando - Daytona Beach - Melbourne, FL DMA"
FL,MARTIN,"West Palm Beach - Ft. Pierce, FL DMA"
FL,MIAMI-DADE,"Miami - Ft. Lauderdale, FL DMA"
FL,MONROE,"Miami - Ft. Lauderdale, FL DMA"
FL,NASSAU,"Jacksonville, FL - Brunswick, GA DMA"
FL,OKALOOSA,"Mobile, AL - Pensacola, FL - MS DMA"
FL,OKEECHOBEE,"West Palm Beach - Ft. Pierce, FL DMA"
FL,ORANGE,"Orlando - Daytona Beach - Melbourne, FL DMA"
FL,OSCEOLA,"Orlando - Daytona Beach - Melbourne, FL DMA"
FL,PALM BEACH,"West Palm Beach - Ft. Pierce, FL DMA"
FL,PASCO,"Tampa - St. Petersburg - Sarasota, FL DMA"
FL,PINELLAS,"Tampa - St. Petersburg - Sarasota, FL DMA"
FL,POLK,"Tampa - St. Petersburg - Sarasota, FL DMA"
FL,PUTNAM,"Jacksonville, FL - Brunswick, GA DMA"
FL,ST. JOHNS,"Jacksonville, FL - Brunswick, GA DMA"
FL,ST. LUCIE,"West Palm Beach - Ft. Pierce, FL DMA"
FL,SANTA ROSA,"Mobile, AL - Pensacola, FL - MS DMA"
FL,SARASOTA,"Tampa - St. Petersburg - Sarasota, FL DMA"
FL,SEMINOLE,"Orlando - Daytona Beach - Melbourne, FL DMA"
FL,SUMTER,"Orlando - Daytona Beach - Melbourne, FL DMA"
FL,SUWANNEE,"Tallahassee - Thomasville, FL - GA DMA"
FL,TAYLOR,"Tallahassee - Thomasville, FL - GA DMA"
FL,UNION,"Jacksonville, FL - Brunswick, GA DMA"
FL,VOLUSIA,"Orlando - Daytona Beach - Melbourne, FL DMA"
FL,WAKULLA,"Tallahassee - Thomasville, FL - GA DMA"
FL,WALTON,"Panama City, FL DMA"
FL,WASHINGTON,"Panama City, FL DMA"
GA,APPLING,"Savannah, GA - SC DMA"
GA,ATKINSON,"Albany, GA DMA"
GA,BACON,"Savannah, GA - SC DMA"
GA,BAKER,"Albany, GA DMA"
GA,BALDWIN,"Macon, GA DMA"
GA,BANKS,"Atlanta, GA - AL - NC DMA"
GA,BARROW,"Atlanta, GA - AL - NC DMA"
GA,BARTOW,"Atlanta, GA - AL - NC DMA"
GA,BEN HILL,"Albany, GA DMA"
GA,BERRIEN,"Albany, GA DMA"
GA,BIBB,"Macon, GA DMA"
GA,BLECKLEY,"Macon, GA DMA"
GA,BRANTLEY,"Jacksonville, FL - Brunswick, GA DMA"
GA,BROOKS,"Tallahassee - Thomasville, FL - GA DMA"
GA,BRYAN,"Savannah, GA - SC DMA"
GA,BULLOCH,"Savannah, GA - SC DMA"
GA,BURKE,"Augusta, GA - SC DMA"
GA,BUTTS,"Atlanta, GA - AL - NC DMA"
GA,CALHOUN,"Albany, GA DMA"
GA,CAMDEN,"Jacksonville, FL - Brunswick, GA DMA"
GA,CANDLER,"Savannah, GA - SC DMA"
GA,CARROLL,"Atlanta, GA - AL - NC DMA"
GA,CATOOSA,"Chattanooga, TN - GA - NC DMA"
GA,CHARLTON,"Jacksonville, FL - Brunswick, GA DMA"
GA,CHATHAM,"Savannah, GA - SC DMA"
GA,CHATTAHOOCHEE,"Columbus, GA - AL DMA"
GA,CHATTOOGA,"Atlanta, GA - AL - NC DMA"
GA,CHEROKEE,"Atlanta, GA - AL - NC DMA"
GA,CLARKE,"Atlanta, GA - AL - NC DMA"
GA,CLAY,"Columbus, GA - AL DMA"
GA,CLAYTON,"Atlanta, GA - AL - NC DMA"
GA,CLINCH,"Tallahassee - Thomasville, FL - GA DMA"
GA,COBB,"Atlanta, GA - AL - NC DMA"
GA,COFFEE,"Albany, GA DMA"
GA,COLQUITT,"Albany, GA DMA"
GA,COLUMBIA,"Augusta, GA - SC DMA"
GA,COOK,"Albany, GA DMA"
GA,COWETA,"Atlanta, GA - AL - NC DMA"
GA,CRAWFORD,"Macon, GA DMA"
GA,CRISP,"Albany, GA DMA"
GA,DADE,"Chattanooga, TN - GA - NC DMA"
GA,DAWSON,"Atlanta, GA - AL - NC DMA"
GA,DECATUR,"Tallahassee - Thomasville, FL - GA DMA"
GA,DE KALB,"Atlanta, GA - AL - NC DMA"
GA,DODGE,"Macon, GA DMA"
GA,DOOLY,"Macon, GA DMA"
GA,DOUGHERTY,"Albany, GA DMA"
GA,DOUGLAS,"Atlanta, GA - AL - NC DMA"
GA,EARLY,"Dothan, AL - GA DMA"
GA,ECHOLS,"Tallahassee - Thomasville, FL - GA DMA"
GA,EFFINGHAM,"Savannah, GA - SC DMA"
GA,ELBERT,"Greenville - Spartanburg, SC- Asheville - And., NC - GA  DMA"
GA,EMANUEL,"Augusta, GA - SC DMA"
GA,EVANS,"Savannah, GA - SC DMA"
GA,FANNIN,"Chattanooga, TN - GA - NC DMA"
GA,FAYETTE,"Atlanta, GA - AL - NC DMA"
GA,FLOYD,"Atlanta, GA - AL - NC DMA"
GA,FORSYTH,"Atlanta, GA - AL - NC DMA"
GA,FRANKLIN,"Greenville - Spartanburg, SC- Asheville - And., NC - GA  DMA"
GA,FULTON,"Atlanta, GA - AL - NC DMA"
GA,GILMER,"Atlanta, GA - AL - NC DMA"
GA,GLASCOCK,"Augusta, GA - SC DMA"
GA,GLYNN,"Jacksonville, FL - Brunswick, GA DMA"
GA,GORDON,"Atlanta, GA - AL - NC DMA"
GA,GRADY,"Tallahassee - Thomasville, FL - GA DMA"
GA,GREENE,"Atlanta, GA - AL - NC DMA"
GA,GWINNETT,"Atlanta, GA - AL - NC DMA"
GA,HABERSHAM,"Atlanta, GA - AL - NC DMA"
GA,HALL,"Atlanta, GA - AL - NC DMA"
GA,HANCOCK,"Macon, GA DMA"
GA,HARALSON,"Atlanta, GA - AL - NC DMA"
GA,HARRIS,"Columbus, GA - AL DMA"
GA,HART,"Greenville - Spartanburg, SC- Asheville - And., NC - GA  DMA"
GA,HEARD,"Atlanta, GA - AL - NC DMA"
GA,HENRY,"Atlanta, GA - AL - NC DMA"
GA,HOUSTON,"Macon, GA DMA"
GA,IRWIN,"Albany, GA DMA"
GA,JACKSON,"Atlanta, GA - AL - NC DMA"
GA,JASPER,"Atlanta, GA - AL - NC DMA"
GA,JEFF DAVIS,"Savannah, GA - SC DMA"
GA,JEFFERSON,"Augusta, GA - SC DMA"
GA,JENKINS,"Augusta, GA - SC DMA"
GA,JOHNSON,"Macon, GA DMA"
GA,JONES,"Macon, GA DMA"
GA,LAMAR,"Atlanta, GA - AL - NC DMA"
GA,LANIER,"Tallahassee - Thomasville, FL - GA DMA"
GA,LAURENS,"Macon, GA DMA"
GA,LEE,"Albany, GA DMA"
GA,LIBERTY,"Savannah, GA - SC DMA"
GA,LINCOLN,"Augusta, GA - SC DMA"
GA,LONG,"Savannah, GA - SC DMA"
GA,LOWNDES,"Tallahassee - Thomasville, FL - GA DMA"
GA,LUMPKIN,"Atlanta, GA - AL - NC DMA"
GA,MCDUFFIE,"Augusta, GA - SC DMA"
GA,MCINTOSH,"Savannah, GA - SC DMA"
GA,MACON,"Macon, GA DMA"
GA,MADISON,"Atlanta, GA - AL - NC DMA"
GA,MARION,"Columbus, GA - AL DMA"
GA,MERIWETHER,"Atlanta, GA - AL - NC DMA"
GA,MILLER,"Tallahassee - Thomasville, FL - GA DMA"
GA,MITCHELL,"Albany, GA DMA"
GA,MONROE,"Macon, GA DMA"
GA,MONTGOMERY,"Savannah, GA - SC DMA"
